RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0,SeriesRank,SeriesPoints
100288663,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,35,2035.55,2031.73,,2036.01,4072.03,37799.4,35,1268
100393674,104,Advanced Middle School Female,Merrell,2,Advanced,6,4,1816.03,1842.73,,1830.79,3661.58,33051.03,4,1588
100393678,104,Advanced Middle School Female,Merrell,2,Advanced,7,3,1751.85,1857.89,,1805.83,3611.66,33051.03,3,1612
100393679,104,Advanced Middle School Female,Merrell,2,Advanced,7,1,1627.73,1745.01,,1687.66,3375.33,33051.03,1,1700
100393688,103,Advanced Middle School Male,Merrell,2,Advanced,5,1,1595.12,1610.78,,1603.67,3207.35,32850.84,6,1564
100393689,503,Novice 6th Grade Male,Merrell,3,Beginner,6,-1,1562.74,,,1566.35,1566.35,51015.44,35,441
100393693,502,Novice 7th Grade Male,Merrell,3,Beginner,7,1,1089.7,1108.31,1048,1082.8,3248.42,50717.13,1,1388
100393696,502,Novice 7th Grade Male,Merrell,3,Beginner,7,5,1069.49,1131.21,1249.36,1150.83,3452.5,50717.13,28,774
100393698,501,Novice 8th Grade Male,Merrell,3,Beginner,8,3,1029.97,1094.34,1135.45,1087.28,3261.86,50400,1,1400
100393700,103,Advanced Middle School Male,Merrell,2,Advanced,8,3,1604.92,1695.95,,1651.69,3303.38,32850.84,3,1612
100393702,103,Advanced Middle School Male,Merrell,2,Advanced,8,7,1680.88,1738.36,,1711.56,3423.13,32850.84,5,1578
100393703,103,Advanced Middle School Male,Merrell,2,Advanced,8,8,1679.75,1743.84,,1713.19,3426.38,32850.84,7,1465
100393707,103,Advanced Middle School Male,Merrell,2,Advanced,8,2,1593.24,1638.98,,1617.57,3235.15,32850.84,1,1700
100393713,203,Junior Varsity Female,Merrell,2,Advanced,9,4,1849.52,1940.13,,1896.23,3792.46,38400.1,13,1616
100393716,102,Varsity Female,Merrell,3,Advanced,10,12,1777.11,1962.63,2057.41,1932.93,5798.8,32647.7,9,2062
100393718,102,Varsity Female,Merrell,3,Advanced,10,10,1828.58,1886.67,1970.33,1895.98,5687.96,32647.7,10,2010
100393719,102,Varsity Female,Merrell,3,Advanced,10,8,1776.15,1899.12,1928.05,1868.34,5605.02,32647.7,11,1992
100393720,102,Varsity Female,Merrell,3,Advanced,11,2,1661.45,1729.94,1742.16,1712.03,5136.09,32647.7,2,2312
100393726,203,Junior Varsity Female,Merrell,2,Advanced,11,2,1825.03,1946.44,,1886.89,3773.78,38400.1,24,388
100393730,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,9,3,1561.33,1604.72,,1584.33,3168.66,37799.4,4,1904
100393732,101,Varsity Male,Merrell,3,Advanced,10,13,1535.08,1638.2,1626.54,1601.41,4804.24,32404,15,1855
100393736,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,8,1606.3,1648.25,,1628.97,3257.94,37799.4,16,1559
100393737,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,38,2870.4,1920.31,,2396.68,4793.37,37799.4,40,919
100393751,201,Junior Varsity 9-10th Grade Male,Merrell,2,Advanced,10,1,1561.91,1571.14,,1567.4,3134.8,37799.4,41,681
100393756,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,3,1683.87,1658.09,,1674.12,3348.25,38129.11,37,1011
100393759,101,Varsity Male,Merrell,3,Advanced,11,2,1440.86,1455.83,1491.49,1463.12,4389.38,32404,2,2323
100393764,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,11,11,1764.57,1762.21,,1765.8,3531.61,38129.11,25,1340
100393767,101,Varsity Male,Merrell,3,Advanced,11,5,1467.42,1522.77,1541.13,1510.99,4532.99,32404,4,2246
100393773,101,Varsity Male,Merrell,3,Advanced,11,18,1536.63,1637.92,1675.32,1617.56,4852.69,32404,16,1827
100393774,101,Varsity Male,Merrell,3,Advanced,11,12,1552.08,1600.23,1645.69,1599.97,4799.93,32404,11,1978
100393834,101,Varsity Male,Merrell,3,Advanced,12,29,1665.56,1805.36,1756.08,1743.86,5231.59,32404,30,1604
100393836,101,Varsity Male,Merrell,3,Advanced,12,20,1582.78,1655.12,1658.18,1633.31,4899.94,32404,25,1700
100393840,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,22,1805.35,1892.48,,1850.82,3701.65,38129.11,15,1517
100393847,101,Varsity Male,Merrell,3,Advanced,12,8,1466.74,1567.58,1615.29,1550.54,4651.63,32404,5,2206
100393849,101,Varsity Male,Merrell,3,Advanced,12,17,1582.85,1655.03,1605.96,1615.97,4847.93,32404,23,1732
100393851,101,Varsity Male,Merrell,3,Advanced,12,21,1594.05,1673.19,1731.66,1667.7,5003.11,32404,14,1856
100393852,101,Varsity Male,Merrell,3,Advanced,12,27,1642.71,1703.1,1740.78,1697.21,5091.64,32404,27,1640
100393855,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,12,1683.68,1846,,1766.15,3532.31,38129.11,14,1517
100393857,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,7,1645.67,1797.48,,1722.86,3445.73,38129.11,4,1817
100393862,202,Junior Varsity 11-12th Grade Male,Merrell,2,Advanced,12,5,1662.69,1758.08,,1711.88,3423.77,38129.11,8,1688
100393868,101,Varsity Male,Merrell,3,Advanced,12,11,1472.5,1589.4,1646.53,1570.67,4712.03,32404,10,2006
100393872,101,Varsity Male,Merrell,3,Advanced,12,4,1464.88,1493.07,1524.61,1495.24,4485.74,32404,42,448
100393875,101,Varsity Male,Merrell,3,Advanced,12,28,1590.42,1764.72,1845.15,1734.48,5203.44,32404,19,1772
100393951,102,Varsity Female,Merrell,3,Advanced,12,6,1776.5,1884.3,1898.14,1853.51,5560.53,32647.7,6,2101
100393968,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,3,1219.58,1296.44,,1259.42,2518.85,54900,4,1115
100393970,704,Elementary 4th Grade Female,Merrell,2,Beginner,4,5,1242.97,1326.47,,1286.09,2572.19,54900,6,1047
100393976,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,6,1337.66,1401.92,,1370.76,2741.52,54299.1,12,800
100393984,602,Advanced Elementary Female,Merrell,3,Beginner,5,1,1117.75,1197.44,1185.06,1167.55,3502.65,50941.27,1,1400
100393989,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,8,1370.59,1412.97,,1393.46,2786.92,54299.1,7,1029
100393990,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,7,1372.09,1410.59,,1393.06,2786.12,54299.1,6,1030
100393991,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,1,1230.55,1228.78,,1231.24,2462.49,54299.1,1,1165
100393995,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,2,1247.64,1257,,1253.35,2506.71,54299.1,2,1145
100393998,702,Elementary 5th Grade Female,Merrell,2,Beginner,5,14,1534.36,1660.77,,1599.22,3198.45,54299.1,16,560
100394004,602,Advanced Elementary Female,Merrell,3,Beginner,5,4,1265.08,1409.23,1356.32,1343.98,4031.96,50941.27,6,1037
100394008,402,Novice 6-8th Grade Female,Merrell,3,Beginner,6,18,1192.74,1447.48,1449.24,1363.84,4091.52,47100.48,31,425
100394009,402,Novice 6-8th Grade Female,Merrell,3,Beginner,6,13,1198.96,1267.46,1336.7,1268.79,3806.39,47100.48,18,1082
100394014,104,Advanced Middle School Female,Merrell,2,Advanced,6,8,1996.24,2167.92,,2083.62,4167.24,33051.03,7,1465
100394016,402,Novice 6-8th Grade Female,Merrell,3,Beginner,6,26,1434.51,1749.74,1708.07,1631.91,4895.74,47100.48,23,1000
100394028,402,Novice 6-8th Grade Female,Merrell,3,Beginner,6,19,1288.84,1413.02,1476.84,1393.75,4181.27,47100.48,20,1020
100394033,703,Elementary 4th Grade Male,Merrell,2,Beginner,4,9,1214.62,1312.17,,1264.52,2529.04,54600.72,8,1023
