RegID,CatID,Cat,Venue,Laps,Course,Grade,Rank,Lap1,Lap2,Lap3,LapAvg,Final,T0
100515690,101,Varsity Male,Merrell,3,Advanced,12,-1,1802.18,1817.19,,1811.22,3622.45,32928
100393732,101,Varsity Male,Merrell,3,Advanced,11,-1,1638.27,,,1640.83,1640.83,32928
100461279,101,Varsity Male,Merrell,3,Advanced,10,-1,,,,,,32928
100393759,101,Varsity Male,Merrell,3,Advanced,12,1,1435.65,1470.24,1489.58,1465.56,4396.68,32928
100430037,101,Varsity Male,Merrell,3,Advanced,11,2,1464.03,1508.14,1507.7,1493.82,4481.48,32928
100393767,101,Varsity Male,Merrell,3,Advanced,12,3,1475.14,1523.28,1541.28,1513.58,4540.75,32928
100538280,101,Varsity Male,Merrell,3,Advanced,10,4,1463.7,1526.19,1553.47,1515.16,4545.49,32928
100394448,101,Varsity Male,Merrell,3,Advanced,11,5,1478.99,1519.98,1550.33,1516.82,4550.48,32928
100394465,101,Varsity Male,Merrell,3,Advanced,11,6,1510.72,1542.8,1535.4,1530.7,4592.1,32928
100393730,101,Varsity Male,Merrell,3,Advanced,10,7,1511.33,1542.71,1535.49,1530.84,4592.53,32928
100394517,101,Varsity Male,Merrell,3,Advanced,11,8,1524.06,1569.66,1574.99,1556.89,4670.69,32928
100429451,101,Varsity Male,Merrell,3,Advanced,10,9,1503.17,1580.23,1589.4,1558.3,4674.91,32928
100394510,101,Varsity Male,Merrell,3,Advanced,11,10,1547.33,1608.57,1583.38,1580.87,4742.63,32928
100394485,101,Varsity Male,Merrell,3,Advanced,11,11,1547.19,1608.48,1588.39,1582.21,4746.65,32928
100393774,101,Varsity Male,Merrell,3,Advanced,12,12,1537.02,1618.11,1646.33,1601.4,4804.22,32928
100394381,101,Varsity Male,Merrell,3,Advanced,10,13,1548.68,1660.49,1647.15,1619.57,4858.73,32928
100394447,101,Varsity Male,Merrell,3,Advanced,11,14,1599.29,1644.36,1689.6,1645.7,4937.11,32928
100395188,101,Varsity Male,Merrell,3,Advanced,9,15,1605.81,1637.89,1711.12,1653,4959,32928
100394611,101,Varsity Male,Merrell,3,Advanced,12,16,1599.81,1687.3,1701.44,1664.12,4992.36,32928
100394571,101,Varsity Male,Merrell,3,Advanced,12,17,1602.82,1725.9,1663.52,1665.09,4995.29,32928
100394455,101,Varsity Male,Merrell,3,Advanced,11,18,1648.39,1702.49,1667.2,1673.96,5021.89,32928
100458418,101,Varsity Male,Merrell,3,Advanced,10,19,1598.26,1796,1705.78,1701.52,5104.58,32928
100434649,101,Varsity Male,Merrell,3,Advanced,11,20,1635.6,1715,1757.64,1704.02,5112.06,32928
100454636,101,Varsity Male,Merrell,3,Advanced,11,21,1659.11,1739.26,1789.12,1730.76,5192.28,32928
100488875,101,Varsity Male,Merrell,3,Advanced,11,22,1659.69,1738.23,1793.2,1731.91,5195.73,32928
100394594,101,Varsity Male,Merrell,3,Advanced,12,23,1671.64,1774.41,1751.07,1733.07,5199.22,32928
100488883,101,Varsity Male,Merrell,3,Advanced,11,24,1702.42,1752.13,1766.43,1741.98,5225.94,32928
100435102,101,Varsity Male,Merrell,3,Advanced,12,25,1693.23,1748,1782.79,1743.06,5229.18,32928
100394365,101,Varsity Male,Merrell,3,Advanced,10,26,1725.13,1762.56,1787.55,1760.09,5280.29,32928
100394543,101,Varsity Male,Merrell,3,Advanced,12,27,1702.14,1801.3,1826.51,1778.21,5334.65,32928
100394581,101,Varsity Male,Merrell,3,Advanced,12,28,1773.3,1778.36,1836.7,1797.49,5392.47,32928
100394545,101,Varsity Male,Merrell,3,Advanced,12,29,1723.56,1847.85,1872.47,1816.36,5449.1,32928
100394548,101,Varsity Male,Merrell,3,Advanced,12,30,1774.65,1913.71,1869.4,1853.86,5561.6,32928
100394572,101,Varsity Male,Merrell,3,Advanced,12,31,1853.78,1900.02,1859.6,1872.93,5618.79,32928
100401834,101,Varsity Male,Merrell,3,Advanced,12,32,1811.87,1894.19,1909.36,1873.3,5619.91,32928
